Title	Link	tag00	tag01	tag02	tag03	tag04	tag05	tag06	tag07	tag08	tag09	tag10	tag11	tag12	tag13	tag14
Computational Complexity: A Conceptual Perspective	http://www.wisdom.weizmann.ac.il/~oded/cc-book.html	textbooks	mathematics	computer-science												
On Computable number, with an application to the Entscheidungsproblem	https://www.cs.virginia.edu/~robins/Turing_Paper_1936.pdf	papers	mathematics	logic	computer-science	turing	undecidability									
On Formally Undecidable Propositions of Principia Mathematica and Related Systems	https://monoskop.org/images/9/93/Kurt_G%C3%B6del_On_Formally_Undecidable_Propositions_of_Principia_Mathematica_and_Related_Systems_1992.pdf	papers	logic	mathematics												
Policy invariance under reward transformations: Theory and application to Reward Shaping	https://people.eecs.berkeley.edu/~pabbeel/cs287-fa09/readings/NgHaradaRussell-shaping-ICML1999.pdf	papers	reinforcement-learning	reward-shaping												
Practical Byzantine Fault Tolerance	http://pmg.csail.mit.edu/papers/osdi99.pdf	papers	distributed-systems	algorithms	computer-science											
Impossibility of Distributed Consensus with One Faulty Process	https://groups.csail.mit.edu/tds/papers/Lynch/jacm85.pdf	papers	distributed-systems	computer-science												
Bitcoin: A Peer-to-Peer Electronic Cash System	https://bitcoin.org/bitcoin.pdf	papers	distributed-systems	blockchain	cryptocurrency											
An Axiomatic Basis for Computer Programming	https://www.cs.cmu.edu/~crary/819-f09/Hoare69.pdf	papers	computer-science	computer-programming	logic											
Brewer's conjecture and the feasibility of consistent, available, partition-tolerant web services	https://users.ece.cmu.edu/~adrian/731-sp04/readings/GL-cap.pdf	papers	distributed-systems	computer-science												
CAP Twelve Years Later: How the Rules Have Changed	https://www.infoq.com/articles/cap-twelve-years-later-how-the-rules-have-changed	readings	distributed-systems													
Time, Clocks, and the Ordering of Events in a Distributed System	https://lamport.azurewebsites.net/pubs/time-clocks.pdf	papers	distributed-systems													
Introduction to Reliable and Secure Distributed Programming	https://www.distributedprogramming.net/	textbooks	distributed-systems													
Deep Reinforcement Learning: An Overview	https://arxiv.org/pdf/1701.07274.pdf	papers	reinforcement-learning	deep-learning												
Deep Learning in Neural Networks: An Overview	https://arxiv.org/abs/1404.7828	papers	deep-learning	neural-networks	machine-learning											
Understanding Inverse Document Frequency: On theoretical arguments for IDF	http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.438.2284&rep=rep1&type=pdf	papers	information-theory	information-retrieval												
Introduction to Information Retrieval	https://nlp.stanford.edu/IR-book/information-retrieval-book.html	textbooks	information-retrieval	natural-language-processing												
Mining of Massive Datasets	http://www.mmds.org/	textbooks	data-mining	information-retrieval	big-data											
The Probabilistic Method	http://nguyen.hong.hai.free.fr/EBOOKS/SCIENCE%20AND%20ENGINEERING/MATHEMATIQUE/PROBABILITY/The_Probabilistic_Method.pdf	textbooks	mathematics	computer-science	information-theory											
What is the name of this book?	http://enthusiasticallyconfused.com/Mathematics/Riddles%20%26%20Puzzles/Raymond%20Smullyan/What%20is%20the%20Name%20of%20this%20Book%3F%20-%20Smullyan.pdf	books	logic													
Probability and Computing - Randomized Algorithms and Probabilistic Analysis	http://www.bioinfo.org.cn/~wangchao/maa/Probability_and_Computing.pdf	textbooks	mathematics	algorithms	computer-science											
Godel, Escher, Bach: An Eternal Golden Braid	https://www.physixfan.com/wp-content/files/GEBen.pdf	books	logic	mathematics	computer-science	artificial-intelligence										
Linux Kernel Development	https://doc.lagout.org/operating%20system%20/linux/Linux%20Kernel%20Development%2C%203rd%20Edition.pdf	textbooks	operating-systems	linux												
Understanding the Linux Kernel	https://doc.lagout.org/operating%20system%20/linux/Understanding%20Linux%20Kernel.pdf	textbooks	operating-systems	linux												
