Title	Link	tag00	tag01	tag02	tag03	tag04	tag05	tag06	tag07	tag08	tag09	tag10	tag11	tag12	tag13	tag14
Hacker's Delight	http://www.hackersdelight.org/	textbooks	algorithms													
Bit Twiddling Hacks	http://graphics.stanford.edu/~seander/bithacks.html#CopyIntegerSign	websites	computer-programming	algorithms												
HAKMEM	http://www.inwap.com/pdp10/hbaker/hakmem/hakmem.html	websites	algorithms	computer-science	mit											
Matters Computational - Ideas, Algorithms, Source Code	https://www.jjj.de/fxt/fxtbook.pdf	textbooks	algorithms	computer-programming												
The Aggregate Magic Algorithms	http://aggregate.org/MAGIC/	websites	algorithms	computer-programming												
Bit permutations	http://programming.sirrida.de/bit_perm.html	websites	algorithms	computer-programming												
Specifying Behavioural Features of Design Patterns in First Order Logic	https://radar.brookes.ac.uk/radar/file/bfd6a865-e6bf-7220-a13b-0783c63057a4/1/bayley2008specifying.pdf	papers	software-engineering	logic	design-patterns											
Formalising Design Patterns in Predicate Logic	http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.727.6857&rep=rep1&type=pdf	papers	software-engineering	logic	design-patterns											
How Computers Work - Processor and Main Memory	http://www.fastchip.net/howcomputerswork/bookbpdf.pdf	readings	operating-systems	computer-architecture	electronics											
UML Cheatsheet	http://loufranco.com/wp-content/uploads/2012/11/cheatsheet.pdf	readings	software-engineering	uml	cheatsheets											
Bran's Kernel Development - A tutorial on writing kernels	http://www.osdever.net/bkerndev/Docs/intro.htm	readings	computer-programming	operating-systems	linux											
Roll your own toy UNIX-clone OS	http://www.jamesmolloy.co.uk/tutorial_html/index.html	readings	computer-programming	operating-systems	linux											
QEMU	https://github.com/qemu/qemu	websites	computer-programming	operating-systems												
MikeOS	http://mikeos.sourceforge.net/	websites	operating-systems	computer-programming												
Google Summer of Code	https://summerofcode.withgoogle.com/	websites	google	computer-programming	open-source											
Choose a License	https://choosealicense.com/	websites	open-source													
Open Source Guides	https://opensource.guide/	websites	open-source													
Programming Paradigm	https://en.wikipedia.org/wiki/Programming_paradigm	websites	computer-science	computer-programming												
Microelectronic Circuits	http://download.library1.org/main/1411000/5f4b8172862d8066354bd82fc969b1fc/%28The%20Oxford%20Series%20in%20Electrical%20and%20Computer%20Engineering%29%20Adel%20S.%20Sedra_%20Kenneth%20C.%20Smith-Microelectronic%20Circuits-Oxford%20University%20Press%20%282014%29.pdf	textbooks	electronics													
Category Theory	http://angg.twu.net/MINICATS/awodey__category_theory.pdf	textbooks	mathematics	category-theory												
Types and Programming Languages	https://www.asc.ohio-state.edu/pollard.4/type/books/pierce-tpl.pdf	textbooks	computer-science	mathematics	logic	type-theory										
Compilers: Principles, Techniques and Tools	http://www.informatik.uni-bremen.de/agbkb/lehre/ccfl/Material/ALSUdragonbook.pdf	textbooks	computer-science	computer-programming	compilers											
lex & yacc	https://linuxbbq.org/PDF/lexandyacc.pdf	textbooks	computer-science	computer-programming	compilers	lex	yacc									
Naive Computational Type Theory	http://www.nuprl.org/documents/Constable/naive.pdf	readings	mathematics	computer-science	logic	type-theory										
The Seven Pillars of Statistical Wisdom	http://www.hup.harvard.edu/catalog.php?isbn=9780674088917	book	statistics													
The Music Instinct - How Music Works and Why We Can’t Do Without It	http://www.gorseinon-guitar.co.uk/Philip%20Ball%20-%20The%20Music%20Instinct.pdf	book	music													
Becoming a Data Scientist - Curriculum via Metromap	http://nirvacana.com/thoughts/2013/07/08/becoming-a-data-scientist/	readings	data-science													
Learn Data Science - Infographic	https://www.datacamp.com/community/tutorials/learn-data-science-infographic	readings	data-science													
Software development explained with cars	https://toggl.com/developer-methods-infographic/	readings	software-engineering	agile												
Why divide the sample variance by N-1?	http://www.visiondummy.com/2014/03/divide-variance-n-1/	readings	statistics													
The Algorithm Design Manual	http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.471.4772&rep=rep1&type=pdf	textbooks	algorithms													
The C programming language	http://www.dipmat.univpm.it/~demeio/public/the_c_programming_language_2.pdf	textbooks	computer-programming	c												
Deep C (and C++) by Olve Maudal and Jon Jagger	http://www.pvv.org/~oma/DeepC_slides_oct2011.pdf	textbooks	computer-programming	c	c++											
Expert C Programming: Deep C Secrets	http://www.electroons.com/8051/ebooks/expert%20C%20programming.pdf	textbooks	computer-programming	c												
Concrete Mathematics - A Foundation for Computer Science	https://www.csie.ntu.edu.tw/~r97002/temp/Concrete%20Mathematics%202e.pdf	textbooks	algorithms													
Clean Architecture	http://putregai.com/sbooks/clean_arch.pdf	textbooks	computer-programming	software-engineering	software-architecture											
Algorithhms by Robert Sedgewick and Kevin Wayne	http://www.albertstam.com/Algorithms.pdf	textbooks	algorithms													
The Feynman's lectures on Physics	http://www.feynmanlectures.caltech.edu/	textbooks	physics													
Proof, Logic, and Conjecture - The Mathematician's Toolbox	http://www.columbia.edu/~vml2113/Teachers%20College,%20Columbia%20University/Academic%20Year%202011-2012/Spring%202012/MSTM%206051%20-%20Advanced%20Topics%20in%20Nature%20of%20Proofs/Proof,%20Logic,%20and%20Conjecture%20-%20The%20Mathematician%27s%20Toolbox.pdf	textbooks	mathematics													
Mathematical Logic for Computer Science	https://sites.google.com/a/di.uniroma1.it/logicaperinformatica2016/	websites	logic	mathematics	computer-science											
A Problem Course in Mathematical Logic	https://ia601001.us.archive.org/34/items/flooved3492/flooved3492.pdf	textbooks	logic	mathematics												
Metamath A Computer Language for Pure Mathematics	http://us.metamath.org/downloads/metamath.pdf	textbooks	 computer-programming	mathematics												
The Foundations of Mathematics	https://www.math.wisc.edu/~miller/old/m771-10/kunen770.pdf	textbooks	mathematics	foundations-of-mathematics												
The Mathematical Continuum: From Intuition to Logic	https://www.di.ens.fr/users/longo/files/PhilosophyAndCognition/the-continuum.pdf	papers	mathematics	logic												
Probabilistic algorithm for testing primality	http://www.mat.uniroma2.it/~pasquale/dida/references/rabin1980probabilistic.pdf	papers	algorithms	mathematics	number-theory	primality-testing										
An Introduction to Probability Theory and Its Applications	https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=2&cad=rja&uact=8&ved=2ahUKEwik-fyw57PdAhWIk4sKHe7vC8oQFjABegQICRAC&url=https%3A%2F%2Fwww.researchgate.net%2Fprofile%2FWilliam_Balthes%2Fpost%2FStronger_limit_Theorems_then_the_strong_law_of_large_numbers%2Fattachment%2F59d6256e6cda7b8083a21880%2FAS%253A445697653776384%25401483274010393%2Fdownload%2FWilliam%2BFeller-An%2BIntroduction%2BTo%2BProbability%2BTheory%2BAnd%2BIts%2BApplications.%2BVol%2BII.pdf&usg=AOvVaw1o8Dcz2AiylwrJbWzQNj-l	textbooks	mathematics	probability												
Handbook Of Discrete And Combinatorial Mathematics	http://inis.jinr.ru/sl/M_Mathematics/MRef_References/Handbook%20of%20discrete%20and%20combinatorial%20mathematics%20(CRC,%202000)(1183s).pdf	textbooks	mathematics	computer-science												
A course in mathematical statistics	https://theswissbay.ch/pdf/Gentoomen%20Library/Maths/Statistics/A%20Course%20in%20Mathematical%20Statistics%202nd%20edition.pdf	textbooks	mathematics	statistics												
Algorithms (Dasgupta, Papadimitriou, Vazirani)	http://algorithmics.lsi.upc.edu/docs/Dasgupta-Papadimitriou-Vazirani.pdf	textbooks	algorithms													
On the evolution of easy instances	https://gian.iiita.ac.in/evolution-easy-instances.pdf	papers	algorithms	genetic-algorithms												
Computing Machinery and Intelligence	https://www.csee.umbc.edu/courses/471/papers/turing.pdf	papers	computer-science	artificial-intelligence	turing											
Computer Science Handbook	https://doc.lagout.org/science/0_Computer%20Science/Computer%20Science%20Handbook%2C%202nd%20Ed.pdf	textbooks	computer-science													
Mind Expanding Books	http://vishnuks.com/Mind-Expanding-Books/	websites	lists													
Hacker Programming Book	http://www.ol-service.com/sikurezza/doc/HackerBook.pdf	textbooks	hacking													
Hacking Secret Ciphers with Python	https://inventwithpython.com/hackingciphers.pdf	textbooks	hacking	python												
Free-Security-eBooks	https://github.com/Hack-with-Github/Free-Security-eBooks	websites	lists													
C++ Hacker's Guide	https://tfetimes.com/wp-content/uploads/2015/04/hack.pdf	textbooks	hacking	computer-programming	c++											
Tricky C	https://www.dmi.unict.it/diraimondo/web/wp-content/uploads/classes/so/mirror-stuff/Tricky_C.pdf	textbooks	computer-programming	c												
Hacking - the art of exploitation	https://leaksource.files.wordpress.com/2014/08/hacking-the-art-of-exploitation.pdf	textbooks	hacking	computer-programming												
Self comes to Mind	https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&ved=2ahUKEwir5Ond-bPdAhVPtYsKHakDD-YQFjAAegQIBxAC&url=https%3A%2F%2Fwww.researchgate.net%2Fprofile%2FIvo_De_Sousa%2Fpost%2FLinks_between_neuroscience_psychology_and_fine_art%2Fattachment%2F59d624b279197b8077983035%2FAS%253A314439004295169%25401451979508914%2Fdownload%2F%255BAntonio_Damasio%255D_Self_Comes_to_Mind.pdf&usg=AOvVaw0sTnY-tbxyYv1CI2Wf-l__	books	neuroscience	consciousness												
Automate the Boring Stuff with Python	https://automatetheboringstuff.com/	textbooks	python	computer-programming												
Violent Python	https://universalflowuniversity.com/Books/Computer%20Programming/Black%20Hat%20and%20Penetration%20Testing%202/Violent%20Python_%20A%20Cookbook%20for%20Hackers,%20Forensic%20Analysts,%20Penetration%20Testers,%20and%20Security%20Engineers.pdf	textbooks	python	computer-security	hacking											
A ProblemText in Advanced Calculus	http://web.pdx.edu/~erdman/PTAC/problemtext_pdf.pdf	textbooks	mathematics	calculus												
Real and Complex Analysis	https://59clc.files.wordpress.com/2011/01/real-and-complex-analysis.pdf	textbooks	mathematics	calculus												
Principles of mathematical analysis	https://notendur.hi.is/vae11/%C3%9Eekking/principles_of_mathematical_analysis_walter_rudin.pdf	textbooks	mathematics	calculus												
Functional Analysis	https://59clc.files.wordpress.com/2012/08/functional-analysis-_-rudin-2th.pdf	textbooks	mathematics	calculus												
Security Engineering: A Guide to Building Dependable Distributed Systems	https://www.cl.cam.ac.uk/~rja14/book.html	textbooks	distributed-systems	computer-security	software-engineering											
Handbook of Applied Cryptography	http://math.fau.edu/bkhadka/Syllabi/A%20handbook%20of%20applied%20cryptography.pdf	textbooks	cryptography													
Another look at Provable Security	https://eprint.iacr.org/2004/152.pdf	papers	computer-security													
Privacy on the line	https://ia801902.us.archive.org/35/items/PrivacyOnTheLine/Privacy%20on%20the%20Line.pdf	books	computer-security	privacy												
Breaking 104 bit WEP in less than 60 seconds	https://eprint.iacr.org/2007/120.pdf	papers	cryptography	computer-security												
The Salsa20 family of stream ciphers	https://pdfs.semanticscholar.org/307d/c553e897981853845b6c846e81ba0f80ee99.pdf	papers	cryptography	computer-security												
Whose Data Are These, Anyway?	https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1306963	readings	computer-security	privacy												
Imperfect Forward Secrecy: How Diffie-Hellman Fails in Practice	https://weakdh.org/imperfect-forward-secrecy-ccs15.pdf	papers	computer-security	cryptography												
How to Share a Secret	https://cs.jhu.edu/~sdoshi/crypto/papers/shamirturing.pdf	papers	cryptography	computer-security												
How to fool an unbounded adversary with a short key	https://pdfs.semanticscholar.org/e405/60b8dd54203aae90e426ba37dd7918a0dd9e.pdf	papers	cryptography	computer-security												
Shannon's Theory of Cryptography	http://theory.cse.iitm.ac.in/tcslab/cryptpage/report1.pdf	readings	cryptography	information-theory												
Advanced Operating Systems and Virtualization	https://www.diag.uniroma1.it/~pellegrini/didattica/2017/aosv.html	websites	operating-systems													
Practical Malware Analysis - The Hands-On Guide to Dissecting Malicious Software	http://venom630.free.fr/pdf/Practical_Malware_Analysis.pdf	textbooks	computer-security	malware												
Practical Malware Analysis - Seminars in Distributed System	http://www.dis.uniroma1.it/~aniello/ssd2016/practical_malware_analysis.pdf	readings	malware	computer-security												
If Hemingway Wrote JavaScript	http://pepa.holla.cz/wp-content/uploads/2015/11/If-Hemingway-Wrote-JavaScript.pdf	books	computer-programming													
Variance and bias for general loss functions	http://www-bcf.usc.edu/~gareth/research/bv.pdf	papers	machine-learning													
Review of A Universe of Consciousness. How Matter becomes Imagination	https://www2.informatik.uni-hamburg.de/wtm/ps/dijk.pdf	readings	neuroscience	consciousness												
Integrated information theory: from consciousness to its physical substrate	http://www.crm.cat/en/Activities/Curs_2017-2018/Documents/Consciousness2.pdf	readings	neuroscience	consciousness												
Signal Processing for Communication	http://www.sp4comm.org/docs/sp4comm.pdf	textbooks	signal-processing	communications												
CPython source code	https://hg.python.org/cpython/file	websites	python													
Code: The Hidden Language of Computer Hardware and Software	https://doc.lagout.org/science/0_Computer%20Science/9_Others/Code%20-%20The%20Hidden%20Language%20of%20Computer%20Hardware%20and%20Software.pdf	books	computer-science	computer-architecture												
Upgrading and Repairing PCs	https://inspirit.net.in/books/misc/Upgrading%20and%20Repairing%20PCs.pdf	textbooks	computer-architecture													
The Design of Everyday Things	http://www.nixdell.com/classes/HCI-and-Design-Spring-2017/The-Design-of-Everyday-Things-Revised-and-Expanded-Edition.pdf	books	psychology	design												
The Basic Principles of Computers For Everyone	https://u.teknik.io/EBMIfK.pdf	books	computer-architecture													
How Computers Work	http://ptgmedia.pearsoncmg.com/images/9780789749840/samplepages/9780789749840.pdf	books	computer-architecture													
How Things Work: The Physics of Everyday Life	http://download.library1.org/main/1535000/02ae831deeb79800512ab94ea3a93079/Louis%20A.%20Bloomfield-How%20Things%20Work_%20The%20Physics%20of%20Everyday%20Life-Wiley%20%282015%29.pdf	textbooks	physics													
Principles of Electronic Communication Systems	https://www.mheducation.com/highered/product/principles-electronic-communication-systems-frenzel/M0073373850.html	textbooks	electronics	communications												
Electronics - A Systems Approach	http://fuuu.be/polytech/ELECH301/Electronics%20A%20System%20Approach%20Fourth%20Edition.pdf	textbooks	electronics													
Communication Systems	https://www.bau.edu.jo/UserPortal/UserProfile/PostsAttach/59003_3900_1.pdf	textbooks	communications													
A Survey of Artificial Cognitive Systems: Implications for the Autonomous Development of Mental Capabilities in Computational Agents	http://dai.fmph.uniba.sk/courses/CSCTR/materials/CSCTR_10sup_vernon_survey_2007.pdf	papers	artificial-intelligence	cognitive-systems	evolutionary-computation											
Microwave Engineering	https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&ved=2ahUKEwjg6trP5bfdAhVHzaQKHTd8Bh4QFjAAegQIChAC&url=https%3A%2F%2Fwww.researchgate.net%2Fprofile%2FAnil_Gupta46%2Fpost%2FAre_there_any_books_on_microstrip_transmission_line_parameter_derivation%2Fattachment%2F59d63618c49f478072ea3f93%2FAS%253A273666661650435%25401442258624220%2Fdownload%2FPozar%2BDavid%2BM.-Microwave%2BEngineering-John%2BWiley%2B%2526%2BSons_%2BInc%2B%25282012%2529.pdf&usg=AOvVaw3JbjeJSwqyGP2gFLjjqYY7	textbooks	electronics	physics												
Networthify - When can I retire?	https://networthify.com/calculator/earlyretirement?income=60000&initialBalance=0&expenses=20000&annualPct=5&withdrawalRate=4	websites	economics	retirement												
Artificial Cognitive Systems: a primer	http://vernon.eu/ACS/ACS_03.pdf	books	artificial-intelligence	cognitive-systems	evolutionary-computation											
Computer Science Education: Where Are the Software Engineers of Tomorrow?	http://static1.1.sqspcdn.com/static/f/702523/9242013/1288741087497/200801-Dewar.pdf	computer-science	software-engineering	education												
The Incompleteness Theorem - Martin Davis	https://www.ams.org/notices/200604/fea-davis.pdf	papers	computer-science	logic	mathematics											
The Greatest Mathematical Paper of All Time	http://www.math.umd.edu/~jda/744/coleman.pdf	papers	mathematics													
The unexpected hanging and other mathematical diversions	https://bobson.ludost.net/copycrime/mgardner/gardner04.pdf	books	mathematics													
The Art of Electronics	https://ia802801.us.archive.org/22/items/TheArtOfElectronics3rdEd2015/The%20Art%20of%20Electronics%203rd%20ed%20%5B2015%5D.pdf	textbooks	electronics													
L’identità nazionale è un’invenzione	https://www.internazionale.it/video/2018/03/07/identita-nazionale-invenzione-nazionalismo	readings	nationality	sociology	politics											
Microcomputer Project Laboratory	http://web.mit.edu/6.115/www/page/home.html	websites	computer-architecture	microcontroller	embedded-systems											
Networks, Crowds, and Markets: Reasoning about a Highly Connected World	https://www.cs.cornell.edu/home/kleinber/networks-book/networks-book.pdf	textbooks	computer-science	economics												
ECONOMIC PRINCIPLES - HOW THE ECONOMIC MACHINE WORKS	http://www.economicprinciples.org/	websites	economics													
ECON101: Principles of Microeconomics	https://learn.saylor.org/mod/page/view.php?id=54	websites	economics	microeconomics												
Most of What You Learned in Econ 101 Is Wrong	https://www.bloomberg.com/view/articles/2015-11-24/most-of-what-you-learned-in-econ-101-is-wrong	websites	economics													
THEORY OF GAMES AND ECONOMIC BEHAVIOR	http://jmvidal.cse.sc.edu/library/neumann44a.pdf	textbooks	mathematics	game-theory	economics											
Game Theory: An Introduction	https://press.princeton.edu/titles/10001.html	textbooks	mathematics	economics	game-theory											
An Introduction to Game Theory	http://pioneer.netserv.chula.ac.th/~ptanapo1/gamebook.pdf	textbooks	mathematics	economics	game-theory											
Thinking, Fast and Slow	http://codolc.com/books/Thinking,_Fast_and_Slow.pdf	books	psychology	thinking												
10 Rules of Good Studying	http://www.math.toronto.edu/nhoell/10rules-of-studying.pdf	readings	education	best-practices	study	rules										
Hacking your friends and Neighbors For Fun... (no profit, just fun)	http://neighbor.willhackforsushi.com/hacking-friends.pdf	websites	computer-security	hacking												
On the proper treatment of connectionism	http://web.csulb.edu/~cwallis/382/readings/482/smolensky.proper.treat.pdf	papers	computer-science	connectionism	cognitive-systems											
How To Steal Code or Inventing The Wheel Only Once	http://www.literateprogramming.com/steal.pdf	readings	computer-programming													
Undecidable Problems: A sampler	http://www-math.mit.edu/~poonen/papers/sampler.pdf	readings	undecidability	computer-science												
Notes on Godel’s Theorem and Turing’s proof of the undecidability of the halting problem	https://people.eecs.berkeley.edu/~daw/teaching/cs70-f03/Notes/godel.pdf	readings	computer-science	undecidability												
The Myth of Hypercomputation	http://www1.maths.leeds.ac.uk/~pmt6sbc/docs/davis.myth.pdf	papers	computer-science	computability-theory												
Pseudorandomness	https://people.seas.harvard.edu/~salil/pseudorandomness/pseudorandomness-Aug12.pdf	textbooks	computer-science	pseudorandomness												
The Omnivore's Dilemma	https://michaelpollan.com/books/the-omnivores-dilemma/	books	journalism	food												
Cooking for Geeks - Real Science, Great Cooks, and Good Food	https://www.cookingforgeeks.com/	books	food													
Intermediate Microeconomics - A Modern Approach	http://fac.ksu.edu.sa/sites/default/files/microeco-_varian_0.pdf	textbooks	economics													
NO LOGO	http://www.tcnj.edu/~allyn/No%20Logo%20-%20Naomi%20Klein.pdf	books	economics													
The Tipping Point How Little Things Can Make a Big Difference	https://binyaprak.com/images/blog_articles/123/the-tipping-point.pdf	books	psychology	sociology												
Outliers - The Story of Success	http://banco.az/sites/default/files/books/outliers-the_story_of_success.pdf	books	psychology	sociology												
Blink: The Power of Thinking Without Thinking	http://www.lequydonhanoi.edu.vn/upload_images/S%C3%A1ch%20ngo%E1%BA%A1i%20ng%E1%BB%AF/Blink-%20The%20Power%20of%20Thinking%20Without%20Thinking.pdf	books	psychology	sociology	thinking											
Communication Power	https://courses.helsinki.fi/sites/default/files/course-material/4513843/CASTELLS_comunication%20power%20%5BTIMELESS%20TIME%2033-6%2C%2050-1%5D.pdf	books	politics	sociology	communications											
Make: Electronics	https://ia600702.us.archive.org/16/items/MAKEElectronicsLearningThroughDiscovery/MAKE%20Electronics%20-%20Learning%20Through%20Discovery.pdf	textbooks	electronics													
Make: More Electronics	http://1.droppdf.com/files/kxkYU/oreilly-make-more-electronics-2014.pdf	textbooks	electronics													
The Electrical Engineering Handbook	http://www.rollanet.org/~n0klu/Ham_Radio/(eBook)%20Electronics%20-%20The%20Electrical%20Engineering%20Handbook.pdf	textbooks	electronics													
Practical Electronics for Inventors	https://taleri.files.wordpress.com/2014/02/practical_electronics_for_inventors_-_scherz_paul.pdf	textbooks	electronics													
Practical Electronics Handbook	https://electronicsforfun.weebly.com/uploads/1/7/6/5/17652675/practical_electronics_handbook_sixth_edition.pdf	textbooks	electronics													
The Industrial Electronics Handbook	http://mirror.thelifeofkenneth.com/lib/electronics_archive/Fundamentals_of_Industrial_Electronics.pdf	textbooks	electronics													
One, Two, Three... Infinity	https://archive.org/stream/OneTwoThreeInfinityFactsAndSpeculationsOfScience/One+Two+Three+Infinity+%5BFacts+And+Speculations+Of+Science%5D_djvu.txt	books	mathematics													
Advanced Modern Algebra	http://www.math.hcmuns.edu.vn/~nvdong/DaiSoDaiCuong/Advanced%20Modern%20Algebra%20-%20Joseph%20J.%20Rotman.pdf	textbooks	mathematics	algebra												
hackteria.org	https://hackteria.org/wiki/Main_Page	websites	open-source	biology	art											
Building Open Source Hardware: DIY Manufacturing for Hackers and Makers	https://www.pearson.com/us/higher-education/product/Gibb-Building-Open-Source-Hardware-DIY-Manufacturing-for-Hackers-and-Makers/9780133373905.html	textbooks	open-source	electronics	hardware											
The Universal Turing Machine -  A Half-Century Survey	https://fi.ort.edu.uy/innovaportal/file/20124/1/41-herken_ed._95_-_the_universal_turing_machine.pdf	books	turing	computer-science												
Fads and Fallacies in the name of science	http://emilkirkegaard.dk/en/wp-content/uploads/Martin-Gardner-Fads-and-Fallacies-in-the-Name-of-Science.pdf	books	science													
Thou shalt not commit logical fallacies	https://yourlogicalfallacyis.com/	websites	logic	logical-fallacies												
The Nature of Code	http://wtf.tw/ref/shiffman.pdf	textbooks	computer-programming	physics												
The Computational Beauty of Nature	https://mitpress.mit.edu/books/computational-beauty-nature	books	computer-science	nature												
The Art of Doing Science and Engineering: Learning to Learn	http://worrydream.com/refs/Hamming-TheArtOfDoingScienceAndEngineering.pdf	books	science	engineering												
The Art of Insight in Science and Engineering - Mastering Complexity	https://web2.mlp.cz/koweb/00/04/24/15/12/art_of_insight_in_science_and_engineering.pdf	textbooks	science	engineering												
On Food and Cooking: The Science and Lore of the Kitchen	http://wtf.tw/ref/mcgee.pdf	textbooks	food	cooking	physics											
100 Best Nonfiction Books of All Time	https://www.theguardian.com/books/series/100-best-nonfiction-books-of-all-time	websites	list	non-fiction												
The Selfish Gene	https://www.goodreads.com/book/show/61535.The_Selfish_Gene	books	biology	evolution												
The Disappearing Spoon, And Other True Tales of Madness, Love, and the History of the World	http://mrparsonchem.weebly.com/uploads/4/2/3/9/42399863/the_disappearing_spoon_-_sam_keene.pdf	books	chemistry													
Music: A Mathematical Offering	http://logosfoundation.org/kursus/music_math.pdf	textbooks	music	physics	mathematics											
Asimov's New Guide to Science	https://ia800601.us.archive.org/33/items/AsimovGuideToScience/Asimov%20Guide%20to%20Science.pdf	books	science	physics												
What Is The Theory Of Relativity	https://ia801308.us.archive.org/3/items/WhatIsTheTheoryOfRelativity/What_Is_the_Theory_of_Relativity.pdf	books	physics													
Why is Maxwell’s Theory so hard to understand?	http://www.damtp.cam.ac.uk/user/tong/em/dyson.pdf	papers	physics	electromagnetism												
A Dynamical Theory of the Electromagnetic Field	http://www.bem.fi/library/1865-001.pdf	papers	physics	electromagnetism												
Modern Physics For Scientists and Engineers	http://sciold.ui.ac.ir/~sjalali/BSc.Students/modern.physics/Stephen_T._Thornton,_Andrew_Rex_Modern_Physics_f.pdf	textbooks	physics													
MATHEMATICAL METHODS OF THEORETICAL PHYSICS	https://arxiv.org/pdf/1203.4558.pdf	textbooks	physics	mathematics	mathematical-physics											
Mathematical Physics - A Modern Introduction to Its Foundations	http://202.38.64.11/~jmy/documents/ebooks/Hassani%20Mathematical%20Physics%20A%20Modem%20Introduction%20to%20Its%20Foundations%20-%20S.%20Hassani%20%5B0-387-98579-4%5D.pdf	textbooks	physics	mathematics	mathematical-physics											
Physics of Life - The Physicist's Road to Biology	http://download.library1.org/main/0/aac0058748685baeb782d1a156a2ed25/Clas%20Blomberg-Physics%20of%20life-Elsevier%20Science%20%282007%29.pdf	textbooks	physics	biology												
FUNDAMENTALS OF PHYSICS	http://people.unica.it/vincenzofiorentini/files/2012/04/Halliday-Fundamentals-of-Physics-Extended-9th-HQ.pdf	textbooks	physics													
Library Genesis	http://gen.lib.rus.ec/	websites	lists													
The Evolution of Physics	https://ia800302.us.archive.org/15/items/evolutionofphysi033254mbp/evolutionofphysi033254mbp.pdf	books	physics													
The Intelligent Investor - A book of practical counsel	https://www.e-reading.club/bookreader.php/133361/The_Intelligent_Investor.pdf	textbooks	economics	investments												
The Science And Engineering Of Materials	http://home.ufam.edu.br/berti/nanomateriais/0495296023MaterialsEnginee.pdf	textbooks	science	materials	chemistry											
Satellite Communications	http://ebooks.bharathuniv.ac.in/gdlc1/gdlc1/Engineering%20Library/Dennis%20Rodney/Satellite%20Communications%20(468)/Satellite%20Communications%20-%20Dennis%20Rodney.pdf	textbooks	communications													
N5DUX Ham Radio PDFs	http://www.n5dux.com/ham/files/pdf/index.php	websites	lists	electronics												
Engineer's Mini Notebook - Formulas, Tables and Basic Circuits	http://www.rollanet.org/~n0klu/Ham_Radio/%28ebook%29%20Radio%20Shack%20-%20Mini-Notebook%20-%20Formulas%20Tables%20Basic%20Circuits%20.pdf	textbooks	electronics	cheatsheets												
Engineer's Mini Notebook - Sensor Projects	http://mirror.thelifeofkenneth.com/lib/electronics_archive/Engineers_Mini-Notebook_Sensor_Projects_Forrest_Mims.pdf	textbooks	electronics	cheatsheets												
Radio Engineers Handbook http://www.introni.it/pdf/Terman%20-%20Radio%20Engineers%20Handbook_1943.pdf	textbooks	electronics	radio													
The Story of the Human Body: Evolution, Health, and Disease	https://www.penguinrandomhouse.com/books/206671/the-story-of-the-human-body-by-daniel-e-lieberman/9780307741806/	books	biology													
THE BEGINNER’S HANDBOOK OF AMATEUR RADIO	https://www.qsl.net/sp9hzx/img/The%20Beginner%27s%20Handbook%20of%20Amateur%20Radio.pdf	textbooks	electronics	radio												
PHYSICAL CHEMISTRY	http://exordio.qfb.umich.mx/archivos%20pdf%20de%20trabajo%20umsnh/Leer%20escribir%20PDF%202014/CH-Physical%20Chemistry(8th%20ed)[%E8%8B%B1%E8%AF%AD]Atkins.pdf	textbooks	chemistry													
Connectome: How the Brain's Wiring Makes Us Who We Are	http://connectomethebook.com/	books	neuroscience	connectomics												
The Brain That Changes Itself - Stories of Personal Triumph from the Frontiers of Brain Science	books	neuroscience														
The Mind's I	http://www.federaljack.com/ebooks/Consciousness%20Books%20Collection/Hofstadter,%20Dennett%20-%20The%20Mind%27s%20I.pdf	books	neuroscience	cognitive-science												
The Tell-Tale Brain: A Neuroscientist's Quest for What Makes Us Human	http://home.iitj.ac.in/~gk/Psyche/listed/10.%20The%20Tell-Tale%20Brain%20-%20V%20S%20Ramachandran.pdf	books	neuroscience													
ADVANCED CALCULUS	http://www.math.harvard.edu/~shlomo/docs/Advanced_Calculus.pdf	textbooks	mathematics	calculus												
Linear Algebra Done Wrong	https://www.math.brown.edu/~treil/papers/LADW/LADW_2017-09-04.pdf	textbooks	linear-algebra													
LINEAR ALGEBRA	http://joshua.smcvt.edu/linearalgebra/book.pdf	textbooks	linear-algebra													
Formalized Music - Thought and Mathematics in Composition	https://monoskop.org/images/7/74/Xenakis_Iannis_Formalized_Music_Thought_and_Mathematics_in_Composition.pdf	textbooks	music	mathematics												
THE COGNITIVE NEUROSCIENCE OF MUSIC	https://www.researchgate.net/profile/Robert_Zatorre/publication/232521640_The_Cognitive_Neuroscience_of_Music/links/02e7e53137ab3a3c8d000000/The-Cognitive-Neuroscience-of-Music.pdf	textbooks	music	neuroscience	cognitive-science											
THE PHYSICS OF MUSIC AND MUSICAL INSTRUMENTS	http://kellerphysics.com/acoustics/Lapp.pdf	readings	music	physics												
